sample,g_NaP,g_K_slow,tau_s,eff_10ms,eff_1000ms,scale_change
0,0.4950195348768135,1.957044617155809,193.7750335347796,1311.2449124243515,1252.7628441012837,-4.460041581014846
1,0.5340464373284057,2.1301962657037765,180.118241162114,1319.4886283085596,1258.341418181622,-4.634159689979414
2,0.4672339230972425,1.9245904311264357,186.7420703242822,1306.6324664285758,1255.8650809783196,-3.885360784660346
3,0.5157430961979224,2.0839508711012336,187.3764358164952,1314.2754345282992,1258.2141089171405,-4.265569007707997
4,0.48055130131659746,2.0733834065094934,216.5230809964037,1315.9254647597315,1258.851106298186,-4.337202979195054
5,0.5178068935764293,1.8823554670507816,211.697232158529,1305.87171127289,1245.3905043625118,-4.631481514476222
6,0.5119579711938855,1.8817661026947277,187.00475185264148,1308.9889482858127,1249.6465375347782,-4.533453917143184
7,0.5290366932100954,1.9631728207908443,200.92935545369846,1308.4205160307902,1249.1314417028177,-4.531347040310185
8,0.4695130439729485,1.9534411620058592,203.09669835828353,1310.4742914514381,1255.671068109741,-4.181938073809811
9,0.494959064154789,1.9173860703038084,198.85967287986634,1309.0040623466978,1251.1171092125858,-4.42221340630036
10,0.5427644156733937,2.015718434781929,188.65207818993642,1311.0143385405124,1249.5657568743268,-4.687102181856631
11,0.5467935814071748,1.901801482277718,218.11449600590706,1308.0999958361635,1241.8162495733245,-5.067177316247077
12,0.536810285056875,2.0249062867441467,218.5886122161949,1311.6394184169997,1246.52795461505,-4.964128318172369
13,0.5255573784705356,2.032415704331867,205.91460821301553,1313.437148842338,1249.3985768813843,-4.87564799102852
14,0.521868247143672,1.909429630892959,180.06090279124334,1310.5242449630475,1248.3286074173193,-4.745859360082418
15,0.5124171491536506,1.8330427032559093,187.66339428661087,1305.1829963719174,1245.2254586529489,-4.593803159069303
16,0.4834930849452613,2.0516569140179244,191.92064074699738,1314.7815939497802,1260.0047260114275,-4.166233250481985
17,0.4871288549455883,1.9339839093875744,187.28586798480677,1306.9912016108844,1254.5231963514263,-4.014411512089031
18,0.5068331189107737,2.069628536802588,210.22291525995058,1314.6321198038877,1255.4431409743054,-4.50232258423839
19,0.4822915017172252,2.1145880051055292,182.09797100688135,1317.5134521449054,1259.5153427027674,-4.402088597100649
20,0.5292103748388925,1.8417175286240475,202.866061356641,1304.2143152374686,1242.6866238029158,-4.717605896186615
21,0.5382281911891034,2.19160059456474,198.94244118509857,1320.21301425047,1259.5300277802505,-4.59645419452794
22,0.5254514992274055,1.8471508524325855,204.81665549883098,1304.9898100304724,1242.642996876546,-4.777570880225538
23,0.4991163036447644,2.1191228426140882,204.31407991965708,1316.9654009146518,1259.4034796013575,-4.370799815493764
24,0.5019366849937154,2.149148933239605,212.94428472655986,1317.2072541923346,1259.9947200083914,-4.343472449141952
25,0.5272070889103393,1.8961307276792794,214.71507471544805,1308.3878712696933,1243.639125828152,-4.948742407609412
26,0.48622279149274783,2.0059187870007875,200.2892599182269,1309.0201771299546,1255.7589086996466,-4.068788958401249
27,0.5036862318169364,2.1014679858397347,193.8319958681262,1317.8562484170277,1260.6555839446814,-4.340432770346092
28,0.5397929444944288,2.1604329657216463,199.95920482884407,1319.5990281275008,1255.575748600847,-4.851722240012732
29,0.5353609171374911,1.9778337024173418,218.16622078850818,1307.7752504400448,1246.1093514343627,-4.71532849279206
30,0.5351910756558514,2.0789320517639833,207.22220326346076,1314.364903248012,1252.267033139105,-4.724553277058218
31,0.49679150364090974,2.0513660760691974,207.19922237699905,1311.578162289203,1257.8226653418442,-4.0985355271190995
32,0.5286115424078286,2.071448066249316,202.92533275325556,1313.9774891107377,1248.205121868363,-5.00559315417858
33,0.46033119277401063,1.825045124202767,195.37239158254033,1304.8541097020484,1251.9979314186724,-4.050734705923965
34,0.49379760723604715,1.9186479641626601,211.37958640640906,1310.8781284278982,1250.367959386335,-4.6160026419947515
35,0.4746552327232837,1.8111694135663725,205.12341968962522,1298.8473896963585,1249.3750690386773,-3.8089402227036615
36,0.4623081569990508,1.8815610269580234,184.8439985494038,1306.7827180222241,1251.760663138971,-4.210497592631718
37,0.5262041009148479,2.0120475574753307,200.6611548205251,1311.503703684542,1250.414715741891,-4.657934840063914
38,0.463162432189925,2.0139083818444363,190.60813781126473,1312.4605634311301,1260.347095885327,-3.9706692145906697
39,0.5120058092174863,2.0581563483914302,208.78292932379344,1316.6649618705603,1247.8681981269797,-5.225077429404852
40,0.49216986306529653,2.0834326899370965,194.36069988500694,1315.8046856239678,1258.7490063665502,-4.336181492647683
41,0.5452416282732948,2.098395378882274,203.17951094345892,1316.8875431498723,1246.8462586227836,-5.318698995326242
42,0.4950323564168107,1.9067037731661631,208.6094558715444,1308.7267399274936,1250.3713928139316,-4.458940536111837
43,0.505725698571145,1.9351467037639887,185.3600992186005,1311.2565989086424,1247.2156124038536,-4.883940073826138
44,0.5054199120689677,1.8260552744584482,197.98577160362805,1306.266998224417,1247.1174532934774,-4.528135902640147
45,0.5409685740853722,2.0982185197560606,215.28098401925786,1313.226646854472,1253.293700028114,-4.563793079428697
46,0.514146871877881,1.9315028642182017,180.98210241239303,1310.076565256222,1251.0998985344293,-4.5017725135979525
47,0.5318262383017199,2.0016584212286577,210.37784816576445,1312.3205738596532,1249.9557701741348,-4.752253750171566
48,0.4636900133999478,2.0444509389550447,195.92325490041497,1313.0005406789178,1261.0038044241462,-3.9601458372504132
49,0.5209023566402676,2.1386072254327275,217.95012727898708,1319.4426760832773,1255.2395392443361,-4.865928471369905
